2 1 120.00 
1 4 120.00 
3 2 120.00 
4 9 120.00 
9 4 120.00 
6 5 120.00 
3 7 240.00 
6 14 720.00 
14 7 120.00 
7 19 360.00 
8 9 120.00 
9 8 120.00 
11 8 240.00 
11 22 360.00 
11 12 600.00 
12 13 480.00 
13 12 120.00 
13 14 240.00 
13 17 240.00 
14 18 240.00 
22 16 120.00 
16 18 120.00 
18 21 120.00 
22 20 120.00 
20 21 120.00 
19 24 120.00 
22 23 120.00 
24 23 120.00 
4 5 120.00 
3 6 840.00 
14 13 360.00 
2 1 120.00 
1 4 120.00 
3 2 120.00 
4 9 120.00 
9 4 120.00 
6 5 120.00 
3 7 240.00 
6 14 720.00 
14 7 120.00 
7 19 360.00 
8 9 120.00 
9 8 120.00 
11 8 240.00 
11 22 360.00 
11 12 600.00 
12 13 480.00 
13 12 120.00 
13 14 240.00 
13 17 240.00 
14 18 240.00 
22 16 120.00 
16 18 120.00 
18 21 120.00 
22 20 120.00 
20 21 120.00 
19 24 120.00 
22 23 120.00 
24 23 120.00 
4 5 120.00 
3 6 840.00 
14 13 360.00 
2 1 120.00 
1 4 120.00 
3 2 120.00 
4 9 120.00 
9 4 120.00 
6 5 120.00 
3 7 680.00 
6 14 280.00 
7 14 560.00 
14 7  30.00 
7 19 150.00 
8 9 630.00 
9 8 120.00 
11 8 750.00 
9 10 510.00 
10 13 510.00 
11 22 150.00 
11 12 300.00 
12 13 180.00 
13 12 120.00 
13 14 450.00 
13 17 360.00 
14 18 540.00 
17 20 120.00 
18 21 300.00 
20 23 120.00 
21 24  60.00 
24 19  90.00 
22 23 150.00 
23 24  30.00 
4 5 120.00 
3 6 400.00 
14 13 480.00 
2 1 120.00 
1 4 120.00 
3 2 120.00 
4 9 120.00 
9 4 120.00 
6 5 120.00 
3 7 680.00 
6 14 280.00 
7 14 560.00 
14 7  30.00 
7 19 150.00 
8 9 630.00 
9 8 120.00 
11 8 750.00 
9 10 510.00 
10 13 510.00 
11 22 150.00 
11 12 300.00 
12 13 180.00 
13 12 120.00 
13 14 450.00 
13 17 360.00 
14 18 540.00 
17 20 120.00 
18 21 300.00 
20 23 120.00 
21 24  60.00 
24 19  90.00 
22 23 150.00 
23 24  30.00 
4 5 120.00 
3 6 400.00 
14 13 480.00 
2 1 120.00 
1 4 120.00 
3 2 120.00 
4 9 120.00 
9 4 120.00 
6 5 120.00 
3 7 680.00 
6 14 280.00 
7 14 560.00 
14 7  30.00 
7 19 150.00 
8 9 630.00 
9 8 120.00 
11 8 750.00 
9 10 510.00 
10 13 510.00 
11 22 150.00 
11 12 300.00 
12 13 180.00 
13 12 120.00 
13 14 450.00 
13 17 360.00 
14 18 540.00 
17 20 120.00 
18 21 300.00 
20 23 120.00 
21 24  60.00 
24 19  90.00 
22 23 150.00 
23 24  30.00 
4 5 120.00 
3 6 400.00 
14 13 480.00 
